CODIGO;NOMBRE;TEMP_MAX;TEM_MIN;FECHA
001;Tunja;17.1;9.3;02/02/23
002;Togancipa;18.3;10.3;02/02/23
003;Melgar;28.6;22.6;02/02/23
004;Riohacha;35.4;25.3;03/02/23
005;Barichara;24.7;21.2;03/02/23
002;Togancipa;19.7;12.5;03/02/23
003;Melgar;30.2;26.4;03/02/23
005;Barichara;26.3;19.3;03/02/23
001;Tunja;16.8;13.6;04/02/23
004;Riohacha;37.6;28.4;04/02/23
002;Togancipa;16.5;12.3;05/02/23
003;Melgar;27.7;23.4;05/02/23
005;Barichara;27.9;20.6;05/02/23
001;Tunja;15.5;12.7;05/02/23
004;Riohacha;35.6;26.4;06/02/23

